Name,Number,League,Country,Registered,url
Sausage Roller,M14,Arcadia Roller Derby,United Kingdom,"1st January, 1970",http://www.derbyrollcall.com/everyone
James Mean,27,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Yvel Saint Laurent,14,Knights of Oldham Roller Derby & Rainy City Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pancake,1928,Rainy City Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Robert Quadriguez,101,Crash Test Brummies,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pete Bog,10,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sui-cider,7,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Ramona Sours,7XS,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Violentine,2003,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sir Kit Breaker,7805,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Battered Sausage,#911,London Rollergirls Recreational League,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pyroclastic Flo,64,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Fish & Whips,12T,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Nitro Jen,147,Rainy city roller girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Kiki Kapow,19A,Rainy City Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Hunter,1716,Independent,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Jostlin' Belle,,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pash 'n' Dash,OU1,blackpool roller derby league,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Station,27,Knights of Oldham Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
the gruffa-low,2004,London Rollergirls Recreational League,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Buckingham Malice,103,The Skateful Dead,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Carly Jane,827,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
SkullDozer,18,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
TormentHer,855,Rainy city Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Spectra VON Glide,2105,Blackpool Roller Derby League,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Nic Nac Knock,312,Bairn City Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Morgue Anna,8,Rainy City Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Harlot Jo Ransom,999,Rainy City Roller girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Purple Brewser,24,Rainy City Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
PETER PARKED'HER,15,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Twisted Innocence,94,Lincolnshire Bombers Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
G Whizz,19,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bellastitch Thestrange,,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Fifi Nomenon,108,Texas Rollergirls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
sevenbells,8443,wirral whipitiers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bella B'Flat,84 bpm,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sinister Mary Clarence,27,London Rollergirls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Yoko oh no!,7 13,Blackpool Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bonita Reckless,111,Coachella Valley Derby Girls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Nikki Mergency,911,Jersey Shore Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
So Sue Me! (Referee),628,Blackpool roller derby league,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Staple Gunner,AK47,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Hairy Mark,MX5,Rainy City Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Kaye Oss,,Sioux Falls Roller Dollz,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bella Lunatic,28,Northshore Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Eradikate,68,Black Heart Maidens,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Andi Structible,,Sioux Falls Baby Dollz,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Lil Cherry Kick'her,16,Lincolnshire Bombers Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Rainbow Smite,25,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Tre Cruel,,North Wales Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Waggle,4,Blue Ridge Rollergirls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Jetpakk,59,Cork City Firebirds,Ireland,"20th January, 2014",http://www.derbyrollcall.com/everyone
Frightmare,31M st.,DC Rollergirls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
So Sue Me!,628,Blackpool roller derby league,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Lone Rager,TX,Dead Girl Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Marilyn Monroll,333,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Swttart Isakilla,13,Texarkana Roller Derby League,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Wreckin' Texas,504,,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Hoff the Chain,311,South Central Roller Girls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sutton Death,74,Blackpool Roller Derby League,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
mamacita matadora,333,brussels derby pixies,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Flip the Bird,2811,Furness Firecracker,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Luscious Malfoy,,Oakland County Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Jim Jams,957,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Captain Malice,38,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Billie no name,101,Blackpool roller derby league,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Smack Bauer,24HR,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Jammy Hendrix,K32,North Wales Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
T-Killah (Kill'r),263,Blackland Rockin' K Rollers,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Headless Horsman,,Hill City Rollers,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
bitta hunny,69,mac-town sugar skulls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Shutter Down,24,Big Easy Rollergirls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bugsy Malign,1929,Rainy City Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Aphrobitey,210,Blue Ridge Rollergirls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Unprotected Bex,454,Auld Reekie Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Spuds McKenzie,k8,Pensacola Roller Gurlz,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
DonRodrigo,7,Brussels Derby Pixies,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Beat A Blocker,C3R1,NWRD,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sugar Bullet,83,South Central Roller Girls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Juggernaut Jess,19,Tulsa Derby League,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Charlie McHell,829,Blackland Rockin'K Rollers,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Synyster. Motives,23,Lincolnshire Bombers Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Helsbeth,L12,Blackpool Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Honey Badger Von Sparkle Tits,106,Red Stick Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Blaque'N DeckHER,N0 BS,Central Coast Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Quantum Feary,1918,North Wales Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Demi Lition,84,Kent Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Cyber Bully,kill - 9,,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
punk rotten,1977,Windy City rollers,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sue Perman,147,Halifax Bruising Banditas,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Cherry Cola Chola,,,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bicky Monkey,18,Blackland Rockin'K-Rollers,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Hether Skelter,88,Wisconsin River Valley Roller Girls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Susy Pow,TOP5,Charm City Roller Girls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Stormin' Stella,92,Aurora 88s,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Luna Tick,5150,North Idaho Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Kins,,Blackpool Roller Derby League,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Laura Norder,3144,Blackpool roller derby league,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
So Phiarsome,393,,Germany,"20th January, 2014",http://www.derbyrollcall.com/everyone
Florence the Machine,17,Lincolnshire Bombers Roller Girls/Lincolnshire Rolling Thunder,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Lolo Beach,22,South Central Roller Girls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Panty DropHer,69,gcrg,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Whistle bLoki,,New York Shock Exchange,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Custard Scream,,Lincolnshire Bombers Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pandora Blox,911,,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Her Hineyz Mione,934,mobile's derby darlings,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
The Plauhaus,1933,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Jenny Bravo,,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bosh!,25,Furness firecrackers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bev Rage,5PM,Northshore Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Becky Bulldoz-Her,2012,,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Betty Crack-her,303,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Hopley,1911,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Gemolition,8880,Blackpool Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Veronica Spanks,1941,Northshore Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Deadly Poison,696,Mac Town Sugar Skulls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Debella deball,12,Texas rillergirls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Whip it Goldberg,4,Brussels Derby Pixies,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Smacktion Hero,48fps,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Meat Sox,42,GIrls Rollin in the South,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Brass Kicker,13,Pearl River Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Dany Stormborn,FIR3,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Kimically Unstable,16,Texarkana Roller Derby League/Dolls of Destruction,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
La Dolce Beater,60,Newcastle Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Carmen Avago,82,Lincolnshire Bombers Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Betty Whoop-Ass,133,Bairn City Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
FixHer Upper,REF,Oklahoma City Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sorella Demise,75,Dunlap Darksiders Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Roxy Rink Rash,42,Kent Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
CleoPuncha,17,Girls Rollin In The South,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Jam-anji,72,Preston Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Gorey Taylor,29,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bloody Charms,81,Mobile Derby Darlings,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Little Nipper,317,Blackpool roller derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Razzo,6,Lincolnshire Bombers Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Mizza Murica,74,Lincolnshire Bombers Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Knick Knack Patty Whack,58,Mobile's Derby Darlings,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Eiffel Power,16,Tragic City Rollers,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Evilyn A. Heathen,*9*,Southern Illinois Rollergirls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sissy Breakneck,88,Liverpool Roller Birds,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Abby Dasher,90,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Justeen Beat-Her,19,South Central Roller Girls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Penelope Bruise,N14,North Wales Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Muhammad Holly,K0,Houston Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Mary Tyler Gore,,,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Brick Wall-Us,012,GRITS Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
TechniKiller,1925,Mobile's Derby Darlings,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Nora Toxin,LD50,Preston Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
SnowBlack,.50,Brussels Derby Pixies,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Roxxxie Ram Her,68,Mobile's Derby Darlings,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Mona[r]co Traffic,83.13,Brussels derby Pixies,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Weeble,88,Furness firecrackers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Scooby Doom,K9,Hammer City Roller Girls,Canada,"20th January, 2014",http://www.derbyrollcall.com/everyone
Viksen,16,Halifax Bruising Banditas,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pro-pain Penny,79,North Cheshire Victory Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Eek,MC2,Newcastle roller girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Rack'Hell,54-46,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Heidi Jam Peroxide,H202,North Cheshire Victory Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Dawn of the Dreads,686,Oxford Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Polly Atomic,602,Atlanta Rollergirls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sally Spinno-mon',,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Careless Santana,11,The Skateful Dead,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
LT Damn,4T2,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Evie Duzzit,37,Girls Rollin In the South,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Nips,3,The Lincolnshire Bombers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Ninja Worrier,252,Liverpool Roller Birds,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Ariel Onslaught,F14,,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
EEK,MC2,Newcastle roller girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Chris de Blur,77,The Skateful Dead,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Helen of DesTroy,H313n,Blackpool Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sulphur Molly,s16,North Cheshire Victory Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
mad maggie,bloody eight,,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Molly Misdemeanor,27,Beach Cities Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
North'n'Fights,11,Lincolnshire Bombers Rollergirls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Margarita Kille,2QLA,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Vieux Careen,701,Big Easy Rollergirls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sewciopath,".75""",Forest City Derby Girls,Canada,"20th January, 2014",http://www.derbyrollcall.com/everyone
HardAzzStone,3366,Wicked City Derby Damez,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Ramblin' Rizzo,737,Dub City Derby Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Cazmanian Devil,187,North Wales Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
jane vi olenta,2,ncvr,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Homici-Doll,,East Texas Bombers,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Trunk Monkey,5-18,Roe City Rollers,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Miss K-Ass,30,Blackland Rocckin'K-Roller,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Mary Choppins,2112,Houston Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Gazzabyte,8bit,Lincolnshire Rolling Thunder,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
April Arsekick,13,North Cheshire Victory Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Twinki Darfur,Fe26,Chicago Outfit Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Dis Face,8K,Borderland Brawlers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Kort Knox,14kt.,South Texas Rolleristas,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Alpaca Punch,383,Hub City Derby Dames,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Tarynu 2bits,1034,WICKED CITY DERBY DAMEZ,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Feartrix Rotter,1943,Nottingham Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Cherry bomber,C36s,Ncvr,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Olivia Ganngrene,3/6,Capital City Roller Girls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Gillotine Grace,235,Dallas Derby Devils,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Boa D'Slayer,00F,Liverpool Roller Birds,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Lili Von Stomp,#910,Houston Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Hulk SmAsh,68,Super Smash Brollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
B.F. Skinya,86,okc outlaws,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Shutter Up,1/30s,Wicked City,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
ginger biccie head,01oh,stoke city rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Penalty Fi,,Furness Firecrackers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Lizzee Rascal,203,Big Bucks High Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pair-Illegal Legs,413,Mobile's Derby Darlings,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Kenny Jean,205,Brussels Derby Pixies,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Ultraviolet Catastrophe,79,Wirral Whipiteres,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
TKillya Rosita,611,G.R.I.T.S. Girls Rollin In The South,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Tata St Pierre,51,North Texas Derby Revolution,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Whoop C. Daisy,00ps,OKC Outlaws,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Big Drawzz,30,Bexar County Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Jean-Juke Picard,1701,Atlanta Rollergirls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Steph Leopard,sp0ts,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Humpme Bogart,00,One love roller Dolls,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Stryker,1337,Mass Maelstrom,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Smash,12,TriCity Roller Girls,Canada,"20th January, 2014",http://www.derbyrollcall.com/everyone
Mary Queen of Skates,1542,Houston Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
$2 Pistol,.45,North Texas Derby Revolution,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Rendez Voodoo,251,Capital City Roller Girls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
BG Smack,90,Houston Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Knock Out,1290,North Wales Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Democracker,2020,North Texas Derby Revolution,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Razzybeth,23,Prrd,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Mighty Moist,A15,North Cheshire Victory Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pendle Bitch,69,Preston Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Snow White T.F.,1207,Brussels Derby Pixies,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
GemmaRoids,0,Big Bucks High Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Kat Chmee,2L8,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Dee-Dee,59,Borderland Brawlers Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Kit Kruger,10,Furness Firecrackers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
BlockHit Murphy,84,MKRD,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Lou,32,Lincolnshire Bombers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Huge Refner,0,Antwerp One Love Roller Dolls,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Draeus,TR0N,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Dark Side Of The,B00N,Super Smash Brollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bitter Hitter,16,Mobiles Derby Darlings,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Malice Glass,1017,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Foot'n'Mouth,2493,NWRD,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Judge Dreadful,,Borderland Brawlers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Plain White Tease,1234,North Texas Derby Revolution,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bev O'lution,9,Boulder County Bombers,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
C.C. Titmouse,85,One Love Roller Dollds,Belgium,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bitchie Valens,2359,Dixie Derby Girls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Annie Orphan Maker,321,North Texas Derby Revolution,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
marv,4,lincolnshire rolling thunder,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Lou,32,Lincolnshire Bombers roller girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bama Basher,911,Capital City Rollin Rebels,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Giggity,G00,Lincolnshire Rolling Thunder/Lincolnshire Bombers Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Voluptuous Vixen,504,,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Icy Red,23,London Rollergirls Recreational League,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Kissin' M. Dead,823,Houston Roller Derby,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Baby Mama Trauma,904,Roe City Rollers,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Stace Hopper,b 01 ng,North Cheshire Victory Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
AmbsterDamned,213,Missfits,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
HÃ¼rtin' PrÃ¼e,1420,Borderland Brawlers Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
